"employee_id","sto_avg","gtq","papi_v_avg","sto_norm","gtq_norm","papi_norm","success_score"
"EMP101370",3.4,35.0,5.0,60.0,70.27027027027027,50.0,63.06
"EMP101484",3.6,27,9.0,65.0,48.648648648648646,100.0,63.06
"EMP100694",3.0,43.0,2.0,50.0,91.89189189189189,12.5,62.99
"EMP101683",4.2,22.0,9.0,80.0,35.13513513513514,100.0,62.98
"EMP101982",3.0,35.0,7.0,50.0,70.27027027027027,75.0,62.93
"EMP100012",2.8,43.0,3.0,45.0,91.89189189189189,25.0,62.93
"EMP100662",4.4,33.0,1.0,85.0,64.86486486486487,0.0,62.89
"EMP100527",2.8,35.0,8.0,45.0,70.27027027027027,87.5,62.87
"EMP101190",2.8,35.0,8.0,45.0,70.27027027027027,87.5,62.87
"EMP100995",3.6,30.0,7.0,65.0,56.75675675675676,75.0,62.85
"EMP101060",3.6,30.0,7.0,65.0,56.75675675675676,75.0,62.85
"EMP100463",2.6,35.0,9.0,40.0,70.27027027027027,100.0,62.8
"EMP101516",3.4,30.0,8.0,60.0,56.75675675675676,87.5,62.78
"EMP101686",3.0,38.0,5.0,50.0,78.37837837837837,50.0,62.71
"EMP101143",3.0,38.0,5.0,50.0,78.37837837837837,50.0,62.71
"EMP100498",3.4,41.0,1.0,60.0,86.48648648648648,0.0,62.63
"EMP101760",3.8,25.0,9.0,70.0,43.24324324324324,100.0,62.63
"EMP101461",3.6,33.0,5.0,65.0,64.86486486486487,50.0,62.63
"EMP100743",3.4,33.0,6.0,60.0,64.86486486486487,62.5,62.56
"EMP101154",3.2,41.0,2.0,55.0,86.48648648648648,12.5,62.56
"EMP100768",3.4,33.0,6.0,60.0,64.86486486486487,62.5,62.56
"EMP100563",3.2,33.0,7.0,55.0,64.86486486486487,75.0,62.5
"EMP101136",3.2,33.0,7.0,55.0,64.86486486486487,75.0,62.5
"EMP100880",3.8,36.0,2.0,70.0,72.97297297297297,12.5,62.48
"EMP101293",4.0,28.0,6.0,75.0,51.351351351351354,62.5,62.48
"EMP100044",2.8,41.0,4.0,45.0,86.48648648648648,37.5,62.43
"EMP100947",2.8,33.0,9.0,45.0,64.86486486486487,100.0,62.37
"EMP100973",3.6,28.0,8.0,65.0,51.351351351351354,87.5,62.35
"EMP100331",3.4,28.0,9.0,60.0,51.351351351351354,100.0,62.29
"EMP101986",3.4,28.0,9.0,60.0,51.351351351351354,100.0,62.29
"DUP9801",3.4,28.0,9.0,60.0,51.351351351351354,100.0,62.29
"EMP101085",3.2,36.0,5.0,55.0,72.97297297297297,50.0,62.28
"EMP101460",3.8,31.0,5.0,70.0,59.45945945945946,50.0,62.2
"EMP100236",3.8,31.0,5.0,70.0,59.45945945945946,50.0,62.2
"EMP101939",4.0,23.0,9.0,75.0,37.83783783783784,100.0,62.2
"EMP100844",3.6,31.0,6.0,65.0,59.45945945945946,62.5,62.13
"EMP101820",3.6,31.0,6.0,65.0,59.45945945945946,62.5,62.13
"EMP101776",2.6,36.0,8.0,40.0,72.97297297297297,87.5,62.09
"EMP100644",2.6,36.0,8.0,40.0,72.97297297297297,87.5,62.09
"EMP101785",3.4,31.0,7.0,60.0,59.45945945945946,75.0,62.07
"EMP101862",4.2,26.0,6.0,80.0,45.945945945945944,62.5,62.05
"EMP101354",2.4,36.0,9.0,35.0,72.97297297297297,100.0,62.02
"EMP100913",3.25,29.0,9.0,56.25,54.054054054054056,100.0,62.0
"EMP101865",3.0,31.0,9.0,50.0,59.45945945945946,100.0,61.94
"EMP101226",3.6,34.0,4.0,65.0,67.56756756756756,37.5,61.92
"EMP100164",3.4,34.0,5.0,60.0,67.56756756756756,50.0,61.85
"EMP100553",3.8,29.0,6.0,70.0,54.054054054054056,62.5,61.7
"EMP100194",2.8,34.0,8.0,45.0,67.56756756756756,87.5,61.66
"EMP100729",3.4,29.0,8.0,60.0,54.054054054054056,87.5,61.57
"EMP100528",3.2,37.0,4.0,55.0,75.67567567567568,37.5,61.57
"EMP100460",3.2,29.0,9.0,55.0,54.054054054054056,100.0,61.51
"EMP100770",3.2,29.0,9.0,55.0,54.054054054054056,100.0,61.51
"EMP101515",3.0,37.0,5.0,50.0,75.67567567567568,50.0,61.5
"EMP100580",3.0,37.0,5.0,50.0,75.67567567567568,50.0,61.5
"EMP101402",3.0,37.0,5.0,50.0,75.67567567567568,50.0,61.5
"EMP101913",3.0,37.0,5.0,50.0,75.67567567567568,50.0,61.5
"EMP101927",3.8,24.0,9.0,70.0,40.54054054054054,100.0,61.42
"EMP101346",3.6,32.0,5.0,65.0,62.16216216216216,50.0,61.42
"EMP101642",3.6,32.0,5.0,65.0,62.16216216216216,50.0,61.42
"EMP101692",3.4,32.0,6.0,60.0,62.16216216216216,62.5,61.35
"EMP100427",3.4,32.0,6.0,60.0,62.16216216216216,62.5,61.35
"EMP101373",4.0,35.0,1.0,75.0,70.27027027027027,0.0,61.33
"EMP101708",3.2,32.0,7.0,55.0,62.16216216216216,75.0,61.29
"EMP101863",3.0,40.0,3.0,50.0,83.78378378378379,25.0,61.29
"EMP101680",4.0,27,6.0,75.0,48.648648648648646,62.5,61.27
"EMP101717",3.0,32.0,8.0,50.0,62.16216216216216,87.5,61.22
"EMP100982",3.6,35.0,3.0,65.0,70.27027027027027,25.0,61.2
"EMP100749",3.6,35.0,3.0,65.0,70.27027027027027,25.0,61.2
"EMP101524",3.8,27,7.0,70.0,48.648648648648646,75.0,61.2
"EMP100691",3.6,27,8.0,65.0,48.648648648648646,87.5,61.14
"EMP100670",3.4,27,9.0,60.0,48.648648648648646,100.0,61.07
"EMP100899",3.2,35.0,5.0,55.0,70.27027027027027,50.0,61.07
"EMP100183",3.4,27,9.0,60.0,48.648648648648646,100.0,61.07
"EMP100883",3.4,27,9.0,60.0,48.648648648648646,100.0,61.07
"EMP100139",3.4,27,9.0,60.0,48.648648648648646,100.0,61.07
"EMP101701",3.4,27.0,9.0,60.0,48.648648648648646,100.0,61.07
"EMP100862",3.2,35.0,5.0,55.0,70.27027027027027,50.0,61.07
"EMP101631",3.4,27.0,9.0,60.0,48.648648648648646,100.0,61.07
"EMP100638",3.4,27,9.0,60.0,48.648648648648646,100.0,61.07
"EMP101578",3.2,35.0,5.0,55.0,70.27027027027027,50.0,61.07
"EMP100063",3.4,27,9.0,60.0,48.648648648648646,100.0,61.07
"EMP101727",3.4,27,9.0,60.0,48.648648648648646,100.0,61.07
"EMP101499",3.4,27,9.0,60.0,48.648648648648646,100.0,61.07
"EMP100566",3.4,27,9.0,60.0,48.648648648648646,100.0,61.07
"EMP101081",3.8,30.0,5.0,70.0,56.75675675675676,50.0,60.99
"EMP100803",3.8,30.0,5.0,70.0,56.75675675675676,50.0,60.99
"EMP101121",2.8,35.0,7.0,45.0,70.27027027027027,75.0,60.94
"EMP101288",2.8,35.0,7.0,45.0,70.27027027027027,75.0,60.94
"EMP100461",2.8,35.0,7.0,45.0,70.27027027027027,75.0,60.94
"EMP101048",3.6,30.0,6.0,65.0,56.75675675675676,62.5,60.92
"EMP101167",3.6,30.0,6.0,65.0,56.75675675675676,62.5,60.92
"EMP101763",4.2,25.0,6.0,80.0,43.24324324324324,62.5,60.84
"EMP101029",3.2,30.0,8.0,55.0,56.75675675675676,87.5,60.79
"EMP101975",3.2,30.0,8.0,55.0,56.75675675675676,87.5,60.79
"EMP101429",3.8,33.0,3.0,70.0,64.86486486486487,25.0,60.77
"EMP101099",3.0,30.0,9.0,50.0,56.75675675675676,100.0,60.73
"EMP101590",2.8,38.0,5.0,45.0,78.37837837837837,50.0,60.72
"EMP101497",3.8,25.0,8.0,70.0,43.24324324324324,87.5,60.71
"EMP100020",3.6,33.0,4.0,65.0,64.86486486486487,37.5,60.7
"EMP100305",3.6,25.0,9.0,65.0,43.24324324324324,100.0,60.64
"EMP100543",3.2,41.0,1.0,55.0,86.48648648648648,0.0,60.64
"EMP101995",3.2,41.0,1.0,55.0,86.48648648648648,0.0,60.64
"DUP9015",3.2,41.0,1.0,55.0,86.48648648648648,0.0,60.64
"EMP100476",4.2,28.0,4.0,80.0,51.351351351351354,37.5,60.62
"EMP100981",4.0,28.0,5.0,75.0,51.351351351351354,50.0,60.56
"EMP100814",2.2,38.0,8.0,30.0,78.37837837837837,87.5,60.53
"EMP101633",3.0,33.0,7.0,50.0,64.86486486486487,75.0,60.51
"EMP100688",2.8,41.0,3.0,45.0,86.48648648648648,25.0,60.51
"EMP101813",3.0,33.0,7.0,50.0,64.86486486486487,75.0,60.51
"EMP100966",2.8,41.0,3.0,45.0,86.48648648648648,25.0,60.51
"EMP100070",3.6,36.0,2.0,65.0,72.97297297297297,12.5,60.49
"EMP101894",3.6,36.0,2.0,65.0,72.97297297297297,12.5,60.49
"EMP101428",3.75,30.0,5.0,68.75,56.75675675675676,50.0,60.49
"EMP100054",3.6,36.0,2.0,65.0,72.97297297297297,12.5,60.49
"EMP101788",4.4,31.0,1.0,85.0,59.45945945945946,0.0,60.47
"EMP101831",2.8,33.0,8.0,45.0,64.86486486486487,87.5,60.44
"EMP101486",3.2,28.0,9.0,55.0,51.351351351351354,100.0,60.3
"EMP100036",3.2,28.0,9.0,55.0,51.351351351351354,100.0,60.3
"EMP100048",3.0,36.0,5.0,50.0,72.97297297297297,50.0,60.29
"EMP100469",3.0,36.0,5.0,50.0,72.97297297297297,50.0,60.29
"EMP100488",2.8,44.0,1.0,45.0,94.5945945945946,0.0,60.29
"EMP100069",2.8,36.0,6.0,45.0,72.97297297297297,62.5,60.23
"EMP100998",3.6,31.0,5.0,65.0,59.45945945945946,50.0,60.21
"EMP101144",3.4,31.0,6.0,60.0,59.45945945945946,62.5,60.14
"EMP100492",3.4,31.0,6.0,60.0,59.45945945945946,62.5,60.14
"EMP101748",4.0,34.0,1.0,75.0,67.56756756756756,0.0,60.12
"EMP100962",3.0,31.0,8.0,50.0,59.45945945945946,87.5,60.01
"EMP100825",3.6,34.0,3.0,65.0,67.56756756756756,25.0,59.99
"EMP100789",2.8,31.0,9.0,45.0,59.45945945945946,100.0,59.95
"EMP101918",2.8,31.0,9.0,45.0,59.45945945945946,100.0,59.95
"EMP100133",2.6,39.0,5.0,40.0,81.08108108108108,50.0,59.94
"EMP100571",2.6,39.0,5.0,40.0,81.08108108108108,50.0,59.94
"EMP100842",3.4,26.0,9.0,60.0,45.945945945945944,100.0,59.86
"EMP100615",4.0,29.0,4.0,75.0,54.054054054054056,37.5,59.84
"EMP100561",4.0,29.0,4.0,75.0,54.054054054054056,37.5,59.84
"EMP100618",2.8,34.0,7.0,45.0,67.56756756756756,75.0,59.73
"EMP100165",3.6,29.0,6.0,65.0,54.054054054054056,62.5,59.71
"EMP100237",2.6,34.0,8.0,40.0,67.56756756756756,87.5,59.67
"EMP100722",3.4,29.0,7.0,60.0,54.054054054054056,75.0,59.65
